epoch;loss
0;8.711098
1;8.565001
2;7.880008
3;5.294813
4;4.610524
5;4.1766224
6;3.9617362
7;3.8006694
8;3.6993747
9;3.6692405
10;3.4342282
11;3.3693619
12;3.3254805
13;3.3326855
14;3.2655854
15;3.2557304
16;3.1709769
17;3.094941
18;3.1822774
19;3.1155794
20;2.8949747
21;2.9746292
22;2.8650413
23;2.9211318
24;2.8562133
25;2.947788
26;2.9039109
27;2.8814845
28;2.9067867
29;2.8823667
30;2.7283137
31;2.684272
32;2.7011728
33;2.6677175
34;2.629084
35;2.6441693
36;2.5947266
37;2.633122
38;2.6110928
39;2.672317
40;2.4845257
41;2.504434
42;2.5187473
43;2.4540284
44;2.482236
45;2.6137118
46;2.4975533
47;2.511104
48;2.5166059
49;2.461631
50;2.3747597
51;2.330443
52;2.4021034
53;2.2654748
54;2.297545
55;2.2805178
56;2.2925537
57;2.363655
58;2.344917
59;2.3187706
